zip_code,city,region
68660,Saint Edward,Central Nebraska
68661,Schuyler,Central Nebraska
68662,Shelby,Central Nebraska
68663,Silver Creek,Central Nebraska
68665,Spalding,Central Nebraska
68666,Stromsburg,Central Nebraska
68667,Surprise,Central Nebraska
68669,Ulysses,Central Nebraska
68701,Norfolk,Northeast Nebraska
68710,Allen,Northeast Nebraska
68713,Atkinson,Northeast Nebraska
68714,Bassett,Northeast Nebraska
68715,Battle Creek,Northeast Nebraska
68716,Beemer,Northeast Nebraska
68717,Belden,Northeast Nebraska
68718,Bloomfield,Northeast Nebraska
68719,Bristow,Northeast Nebraska
68720,Brunswick,Northeast Nebraska
68722,Butte,Northeast Nebraska
68723,Carroll,Northeast Nebraska
68724,Center,Northeast Nebraska
68725,Chambers,Northeast Nebraska
68726,Clearwater,Northeast Nebraska
68727,Coleridge,Northeast Nebraska
68728,Concord,Northeast Nebraska
68729,Creighton,Northeast Nebraska
68730,Crofton,Northeast Nebraska
68731,Dakota City,Northeast Nebraska
68732,Dixon,Northeast Nebraska
68733,Emerson,Northeast Nebraska
68735,Ewing,Northeast Nebraska
68736,Fordyce,Northeast Nebraska
68739,Hartington,Northeast Nebraska
68740,Hoskins,Northeast Nebraska
68741,Hubbard,Northeast Nebraska
68742,Inman,Northeast Nebraska
68743,Jackson,Northeast Nebraska
68745,Laurel,Northeast Nebraska
68746,Lynch,Northeast Nebraska
68748,Madison,Northeast Nebraska
68752,Meadow Grove,Northeast Nebraska
68755,Naper,Northeast Nebraska
68756,Neligh,Northeast Nebraska
68757,Newcastle,Northeast Nebraska
68758,Newman Grove,Northeast Nebraska
68760,Niobrara,Northeast Nebraska
68761,Oakdale,Northeast Nebraska
68763,Oneill,Northeast Nebraska
68764,Orchard,Northeast Nebraska
68765,Osmond,Northeast Nebraska
68766,Page,Northeast Nebraska
68767,Pierce,Northeast Nebraska
68768,Pilger,Northeast Nebraska
68769,Plainview,Northeast Nebraska
68770,Ponca,Northeast Nebraska
68771,Randolph,Northeast Nebraska
68774,Saint Helena,Northeast Nebraska
68776,South Sioux City,Northeast Nebraska
68777,Spencer,Northeast Nebraska
68778,Springview,Northeast Nebraska
68779,Stanton,Northeast Nebraska
68780,Stuart,Northeast Nebraska
68781,Tilden,Northeast Nebraska
68783,Verdigre,Northeast Nebraska
68784,Wakefield,Northeast Nebraska
68785,Waterbury,Northeast Nebraska
68786,Wausa,Northeast Nebraska
68787,Wayne,Northeast Nebraska
68788,West Point,Northeast Nebraska
68790,Winside,Northeast Nebraska
68791,Wisner,Northeast Nebraska
68792,Wynot,Northeast Nebraska
68801,Grand Island,Central Nebraska
68803,Grand Island,Central Nebraska
68810,Alda,Central Nebraska
68812,Amherst,Central Nebraska
68813,Anselmo,Central Nebraska
68814,Ansley,Central Nebraska
68815,Arcadia,Central Nebraska
68817,Ashton,Central Nebraska
68818,Aurora,Central Nebraska
68820,Boelus,Central Nebraska
68822,Broken Bow,Central Nebraska
68823,Burwell,Central Nebraska
68824,Cairo,Central Nebraska
68825,Callaway,Central Nebraska
68826,Central City,Central Nebraska
68827,Chapman,Central Nebraska
68828,Comstock,Central Nebraska
68831,Dannebrog,Central Nebraska
